Geneid	tissue	expression	cutoff
LdNA_741	aedeagus	19.00962545	4.439109895
LdNA_743	aedeagus	25.27115086	16.67419084
LdNA_810	aedeagus	759.37552	187.1088369
LdNA_942	aedeagus	11.99722401	1.628110181
LdNA_1210	aedeagus	10.6694006	2.847579656
LdNA_2257	aedeagus	179.6713684	44.63216402
LdNA_2570	aedeagus	15.95614024	0.423900531
LdNA_2693	aedeagus	35.14225542	8.822618179
LdNA_2694	aedeagus	156.8851838	39.0674392
LdNA_2860	aedeagus	22.29367926	5.97710783
LdNA_3485	aedeagus	25.99342767	4.194383599
LdNA_3495	aedeagus	12.60359015	3.222986879
LdNA_4321	aedeagus	139.3521297	34.50973691
LdNA_4413	aedeagus	98.80249761	24.48365732
LdNA_4443	aedeagus	11.15852395	2.742374542
LdNA_4698	aedeagus	72.85693854	9.296566994
LdNA_5096	aedeagus	44.63717318	11.08756104
LdNA_5155	aedeagus	11.91913681	3.242082071
LdNA_5252	aedeagus	3.124386706	2.831943802
LdNA_5630	aedeagus	11.88332245	6.223181378
LdNA_5660	aedeagus	6.079831273	2.39224769
LdNA_5667	aedeagus	12.72917524	2.89761785
LdNA_6166	aedeagus	3.352557452	3.138702078
LdNA_6325	aedeagus	3122.245899	770.2001866
LdNA_6329	aedeagus	13.16511765	4.531552054
LdNA_6572	aedeagus	87.97307515	21.98870256
LdNA_6618	aedeagus	21.83757058	5.612290723
LdNA_6747	aedeagus	7.262622216	2.321640162
LdNA_6809	aedeagus	39.29211024	9.341493591
LdNA_7052	aedeagus	47.31502858	12.18629098
LdNA_7182	aedeagus	17.78742917	4.784046957
LdNA_7317	aedeagus	63.41840249	15.7260805
LdNA_7348	aedeagus	16.00287424	4.179906438
LdNA_7476	aedeagus	141.365884	35.48889535
LdNA_7706	aedeagus	5085.861039	1253.293025
LdNA_7707	aedeagus	355.2777584	90.1189776
LdNA_7710	aedeagus	52.87023436	13.33062671
LdNA_7882	aedeagus	97.8949588	24.91124949
LdNA_7884	aedeagus	34.60893762	8.526333878
LdNA_7909	aedeagus	144.3947058	34.31576841
LdNA_7928	aedeagus	27.44098297	7.017272485
LdNA_7931	aedeagus	2.901216227	2.808584556
LdNA_7959	aedeagus	28.17134957	7.227363354
LdNA_8063	aedeagus	40.34385259	10.91652762
